category,detail,amount
UNIVERSITY OF MINNESOTA,Higher Education Asset Preservation (HEAPR) 1,42500000
UNIVERSITY OF MINNESOTA,Minneapolis; Tate Laboratory Renovation,56700000
UNIVERSITY OF MINNESOTA,Crookston; Wellness Center,10000000
UNIVERSITY OF MINNESOTA,Research Laboratories,8667000
UNIVERSITY OF MINNESOTA,Duluth; Chemical Sciences and Advanced Materials Building,1500000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Higher Education Asset Preservation (HEAPR) 2,42500000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Metropolitan State University,35865000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Bemidji State University,13790000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Lake Superior College,5266000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Minneapolis Community and Technical College,3600000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,St. Paul College,1500000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Minnesota State College - Southeast Technical,1700000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Central Lakes College - Staples,4234000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Minnesota State University - Mankato,25818000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Minnesota State Community and Technical College - Moorhead,6544000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Rochester Community and Technical College,1000000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Century College,2020000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Northland Community and Technical College,5864000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Northeast Higher Education District,3344000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Winona State University,5902000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,St. Cloud State University,865000
EDUCATION,"Independent School District No. 38, Red Lake",5491000
EDUCATION,Library Construction Grants,2000000
MINNESOTA STATE ACADEMIES,Asset Preservation,700000
MINNESOTA STATE ACADEMIES,New Residence Hall,10654000
PERPICH CENTER FOR ARTS EDUCATION,PERPICH CENTER FOR ARTS EDUCATION,2000000
NATURAL RESOURCES,Natural Resources Asset Preservation,10000000
NATURAL RESOURCES,Flood Hazard Mitigation,4500000
NATURAL RESOURCES,Buildings and Facilities Development,2000000
NATURAL RESOURCES,"Dam Renovation, Repair, Removal",6500000
NATURAL RESOURCES,Lake Vermilion State Park Development,14000000
NATURAL RESOURCES,RIM Critical Habitat,2000000
NATURAL RESOURCES,Fish Hatchery Improvements,2000000
NATURAL RESOURCES,Forest Land for the Future,2963000
NATURAL RESOURCES,State Trails Acquisition and Development,17667000
NATURAL RESOURCES,Central Minnesota Regional Parks,500000
NATURAL RESOURCES,"Fort Snelling Upper Post, Paths",500000
NATURAL RESOURCES,Red River Recreation Area,250000
NATURAL RESOURCES,Lake Zumbro Restoration,500000
NATURAL RESOURCES,Grant County Trail Grant,100000
POLLUTION CONTROL AGENCY,POLLUTION CONTROL AGENCY,2625000
AGRICULTURE,AGRICULTURE,203000
BOARD OF WATER AND SOIL RESOURCES,Reinvest in Minnesota (RIM) Reserve Program,6000000
BOARD OF WATER AND SOIL RESOURCES,Local Government Roads Wetland Replacement Program,2000000
MINNESOTA ZOOLOGICAL GARDEN,Asset Preservation and Exhibit Renewal,7000000
MINNESOTA ZOOLOGICAL GARDEN,Heart of the Zoo,5000000
ADMINISTRATION,Capitol Renovation and Restoration Continued,126300000
ADMINISTRATION,Minnesota Hmong-Lao Veterans Memorial,450000
ADMINISTRATION,Minnesota Workers Memorial,250000
MINNESOTA AMATEUR SPORTS COMMISSION,Southwest Regional Amateur Sports Center,4298000
MINNESOTA AMATEUR SPORTS COMMISSION,National Sports Center Expansion,3200000
MINNESOTA AMATEUR SPORTS COMMISSION,Asset Preservation,475000
MILITARY AFFAIRS,Asset Preservation,2000000
MILITARY AFFAIRS,Brooklyn Park Armory,1244000
PUBLIC SAFETY,Cottage Grove - HERO Center,1460000
PUBLIC SAFETY,Maplewood - East Metro Public Safety Training Center,1650000
PUBLIC SAFETY,Montgomery - Public Safety Facility,220000
PUBLIC SAFETY,St. Louis County - Sheriff's Rescue Squad facility,700000
TRANSPORTATION,Local Bridge Replacement and Rehabilitation,12257000
TRANSPORTATION,Local Road Improvement Fund Grants,24356000
TRANSPORTATION,Greater Minnesota Transit,1500000
TRANSPORTATION,Railroad Warning Devices,2000000
TRANSPORTATION,Willmar District Headquarters,4370000
TRANSPORTATION,Little Falls Truck Station,3580000
TRANSPORTATION,Range Regional Airport,5000000
TRANSPORTATION,International Falls - Airport,2200000
TRANSPORTATION,Port Development Assistance,2000000
METROPOLITAN COUNCIL,Transit Capital Improvement Program,15000000
METROPOLITAN COUNCIL,Metropolitan Regional Parks and Trails Capital Improvements,4000000
METROPOLITAN COUNCIL,Metropolitan Cities Inflow and Infiltration Grants,2000000
METROPOLITAN COUNCIL,Fridley - Springbrook Nature Center,5000000
METROPOLITAN COUNCIL,Inver Grove Heights - Heritage Village Park,2000000
METROPOLITAN COUNCIL,Maplewood - Fish Creek Trail,318000
METROPOLITAN COUNCIL,Minneapolis - Sculpture Garden Drainage Control,8500000
METROPOLITAN COUNCIL,Oakdale - Nature Preserve,150000
METROPOLITAN COUNCIL,St. Paul - Como Regional Park Access,5400000
METROPOLITAN COUNCIL,Washington County - Hastings Bridge Trail Connection,1600000
METROPOLITAN COUNCIL,West St. Paul - North Urban Regional Trail Bridge,2000000
HUMAN SERVICES,Minnesota Security Hospital - St. Peter,56317000
HUMAN SERVICES,Minnesota Sex Offender Program - St. Peter,7405000
HUMAN SERVICES,Early Childhood Learning and Child Protection Facilities,6000000
HUMAN SERVICES,Asset Preservation,3000000
HUMAN SERVICES,Maplewood - Harriet Tubman Center East,720000
HUMAN SERVICES,Hennepin County - St. David's Center for Child and Family Development,3750000
HUMAN SERVICES,St. Louis County - Arrowhead Economic Opportunity Agency and Range Mental Health Office,3000000
HUMAN SERVICES,St. Paul - Dorothy Day Center,6000000
HUMAN SERVICES,Advocating for Change Together,195000
VETERANS AFFAIRS,Asset Preservation,2000000
VETERANS AFFAIRS,Minneapolis - Deep Tunnel,700000
VETERANS AFFAIRS,North St. Paul - Veterans Memorial,100000
CORRECTIONS,Asset Preservation,5500000
CORRECTIONS,Minnesota Correctional Facility - Shakopee,5381000
CORRECTIONS,Northeast Regional Corrections Center,1000000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Greater Minnesota Business Development Public Infrastructure Grants,4000000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Alexandria - Redevelopment,1400000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Chatfield - Center for the Arts,5352000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Clara City - Business Park,748000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Cosmos - Municipal Building,600000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Fosston - Second Street Road Improvement,400000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Grand Rapids - Independent School District No. 318,3897000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Hanover - Bridge,78000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Lake Elmo - Water Supply,3500000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Litchfield - Electrical,250000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Minneapolis - Brian Coyle Community Center,330000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Minneapolis - Hennepin Center for the Arts,550000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Minneapolis - Nicollet Mall,21500000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Park Rapids - Upper Mississippi Arts Center,2500000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Red Wing - River Renaissance,1560000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,St. Paul - Minnesota Children's Museum,6515000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,St. Paul - Historic Palace Theater Renovation,5000000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,St. Paul - Ordway Center for the Performing Arts,4000000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,St. Paul - Minnesota Public Media Commons,9000000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Thief River Falls Airport - Public Infrastructure,650000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Thief River Falls - Public Infrastructure,800000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Virginia - Highway 53 Utilities Relocation,19500000
PUBLIC FACILITIES AUTHORITY,State Match for Federal Grants,12000000
PUBLIC FACILITIES AUTHORITY,Wastewater Infrastructure Funding Program,18333000
PUBLIC FACILITIES AUTHORITY,Big Lake Area Sanitary District,4500000
PUBLIC FACILITIES AUTHORITY,Rice Lake Township - Water Main Replacement,1168000
PUBLIC FACILITIES AUTHORITY,Truman - Storm Water Project,1425000
PUBLIC FACILITIES AUTHORITY,Voyageurs National Park Clean Water Joint Powers Board,8567000
MINNESOTA HOUSING FINANCE AGENCY,MN Housing Finance Agency,20000000
MINNESOTA HISTORICAL SOCIETY,Oliver H. Kelley Farm Historic Site,10562000
MINNESOTA HISTORICAL SOCIETY,Historic Sites Asset Preservation,1440000
BOND SALE EXPENSES,BOND SALE EXPENSES,900000
