account number,name,sku,category,quantity,unit price,ext price,Tax rate,Tax amount,date
296809,Carroll PLC,QN-82852,Belt,13,44.48,578.24,0.07,40.4768,2014-09-27 07:13:03
98022,Heidenreich-Bosco,MJ-21460,Shoes,19,53.62,1018.78,0.07,71.3146,2014-07-29 02:10:44
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,12,24.16,289.92,0.07,20.2944,2014-03-01 10:51:24
93356,Waters-Walker,AS-93055,Shirt,5,82.68,413.4,0.07,28.938,2013-11-17 20:41:11
659366,Waelchi-Fahey,AS-93055,Shirt,18,99.64,1793.52,0.07,125.5464,2014-01-03 08:14:27
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,17,52.82,897.94,0.07,62.8558,2013-12-04 02:07:05
995267,Cole-Eichmann,GS-86623,Shoes,18,15.28,275.04,0.07,19.2528,2014-04-09 16:15:03
524021,Hegmann and Sons,LL-46261,Shoes,7,78.78,551.46,0.07,38.6022,2014-06-18 19:25:10
929400,"Senger, Upton and Breitenberg",LW-86841,Shoes,17,38.19,649.23,0.015,9.73845,2014-02-10 05:55:56
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,12,26.98,323.76,0.015,4.8564,2014-05-20 00:21:28
995267,Cole-Eichmann,KV-99194,Shirt,19,60.22,1144.18,0.015,17.1627,2014-03-10 06:23:31
524021,Hegmann and Sons,QN-82852,Belt,6,13.12,78.72,0.015,1.1808,2013-11-03 18:38:16
758133,"Kihn, McClure and Denesik",LL-46261,Shoes,4,59.69,238.76,0.015,3.5814,2014-01-11 21:48:28
555594,"Ernser, Cruickshank and Lind",FK-71853,Shirt,12,97.25,1167,0.015,17.505,2014-09-19 13:20:00
201259,Koelpin PLC,GS-86623,Shoes,9,81.44,732.96,0.015,10.9944,2014-08-12 08:05:27
93356,Waters-Walker,LL-46261,Shoes,18,53.33,959.94,0.015,14.3991,2014-07-15 23:21:11
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,4,35.62,142.48,0.015,2.1372,2014-10-05 23:38:16
201259,Koelpin PLC,KV-99194,Shirt,17,98.23,1669.91,0.015,25.04865,2014-01-26 01:52:36
758133,"Kihn, McClure and Denesik",WJ-02096,Belt,15,69.52,1042.8,0.015,15.642,2013-11-13 21:38:46
296809,Carroll PLC,VG-32047,Shirt,12,80.12,961.44,0.015,14.4216,2014-05-24 16:03:28
750461,"Volkman, Goyette and Lemke",WJ-02096,Belt,13,81.19,1055.47,0.015,15.83205,2014-01-08 02:45:07
929400,"Senger, Upton and Breitenberg",LL-46261,Shoes,2,48.15,96.3,0.015,1.4445,2014-04-28 07:01:04
563905,"Kerluke, Reilly and Bechtelar",MJ-21460,Shoes,1,54.94,54.94,0.015,0.8241,2014-08-09 11:22:15
734922,Berge LLC,QN-82852,Belt,4,57.75,231,0.015,3.465,2013-11-04 09:48:26
296809,Carroll PLC,AS-93055,Shirt,14,47.68,667.52,0.015,10.0128,2014-01-12 00:28:09
304860,Huel-Haag,QN-82852,Belt,2,41.4,82.8,0.015,1.242,2014-09-23 02:36:55
563905,"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,6,58.52,351.12,0.07,24.5784,2014-03-14 02:28:57
750461,"Volkman, Goyette and Lemke",LL-46261,Shoes,12,96.62,1159.44,0.07,81.1608,2013-12-13 03:19:19
850140,Kunze Inc,KV-99194,Shirt,12,93.67,1124.04,0.07,78.6828,2014-02-19 06:03:09
115138,Gorczany-Hahn,VG-32047,Shirt,12,72.63,871.56,0.07,61.0092,2014-02-07 03:30:14
711951,Kilback-Gerlach,AS-93055,Shirt,2,90.8,181.6,0.07,12.712,2014-03-26 20:56:14
676847,Hamill-Hackett,AS-93055,Shirt,6,42.96,257.76,0.07,18.0432,2013-11-14 22:16:18
711951,Kilback-Gerlach,AS-93055,Shirt,1,71.5,71.5,0.07,5.005,2014-04-14 16:58:07
305803,"Davis, Kshlerin and Reilly",AS-93055,Shirt,1,74.43,74.43,0.03,2.2329,2014-09-20 09:49:19
201259,Koelpin PLC,GS-86623,Shoes,8,35.38,283.04,0.03,8.4912,2013-12-12 02:37:57
115138,Gorczany-Hahn,QN-82852,Belt,16,24.87,397.92,0.03,11.9376,2014-02-20 07:42:49
296809,Carroll PLC,WJ-02096,Belt,14,15.33,214.62,0.03,6.4386,2013-12-03 01:25:07
93356,Waters-Walker,AS-93055,Shirt,12,94.34,1132.08,0.03,33.9624,2014-09-04 13:39:04
850140,Kunze Inc,MJ-21460,Shoes,18,12.78,230.04,0.03,6.9012,2014-02-20 13:18:47
676847,Hamill-Hackett,LL-46261,Shoes,3,28.71,86.13,0.03,2.5839,2014-01-02 12:49:41
115138,Gorczany-Hahn,VG-32047,Shirt,11,11.21,123.31,0.03,3.6993,2013-12-10 20:13:01
201259,Koelpin PLC,KV-99194,Shirt,4,29.79,119.16,0.03,3.5748,2013-11-07 17:43:31
201259,Koelpin PLC,LW-86841,Shoes,11,35.82,394.02,0.03,11.8206,2014-06-21 19:49:30
676847,Hamill-Hackett,WJ-02096,Belt,6,55.43,332.58,0.03,9.9774,2014-08-08 13:50:43
304860,Huel-Haag,GS-86623,Shoes,4,95.75,383,0.03,11.49,2014-03-15 12:50:59
304860,Huel-Haag,MJ-21460,Shoes,10,12.63,126.3,0.03,3.789,2014-06-05 22:34:03
850140,Kunze Inc,MJ-21460,Shoes,10,26.21,262.1,0.03,7.863,2014-04-21 02:14:10
758133,"Kihn, McClure and Denesik",LW-86841,Shoes,11,92.1,1013.1,0.03,30.393,2014-03-21 14:26:03
750461,"Volkman, Goyette and Lemke",MJ-21460,Shoes,10,98.27,982.7,0.03,29.481,2014-10-02 04:41:10
555594,"Ernser, Cruickshank and Lind",FK-71853,Shirt,6,65.4,392.4,0.03,11.772,2014-09-17 19:15:27
995267,Cole-Eichmann,KV-99194,Shirt,10,23.79,237.9,0.03,7.137,2013-11-17 23:56:36
201259,Koelpin PLC,MJ-21460,Shoes,7,52.01,364.07,0.03,10.9221,2014-05-23 17:49:08
758133,"Kihn, McClure and Denesik",FK-71853,Shirt,11,13.06,143.66,0.03,4.3098,2014-03-01 08:58:41
850140,Kunze Inc,GS-86623,Shoes,14,92.43,1294.02,0.03,38.8206,2014-08-03 21:22:07
201259,Koelpin PLC,FK-71853,Shirt,14,57.69,807.66,0.03,24.2298,2014-05-26 16:29:02
555594,"Ernser, Cruickshank and Lind",KV-99194,Shirt,10,83.05,830.5,0.03,24.915,2014-01-05 10:16:57
98022,Heidenreich-Bosco,GS-86623,Shoes,10,26.49,264.9,0.03,7.947,2014-02-12 07:27:39
929400,"Senger, Upton and Breitenberg",GS-86623,Shoes,15,88.24,1323.6,0.03,39.708,2014-07-09 19:31:43
305803,"Davis, Kshlerin and Reilly",LL-46261,Shoes,13,75.38,979.94,0.03,29.3982,2014-03-05 09:26:56
850140,Kunze Inc,LW-86841,Shoes,16,66.61,1065.76,0.03,31.9728,2014-07-25 22:56:12
734922,Berge LLC,GS-86623,Shoes,3,99.88,299.64,0.03,8.9892,2014-08-04 23:08:09
995267,Cole-Eichmann,AS-93055,Shirt,7,41.75,292.25,0.03,8.7675,2014-07-08 15:01:53
115138,Gorczany-Hahn,AS-93055,Shirt,13,22.23,288.99,0.03,8.6697,2014-01-13 18:31:57
929400,"Senger, Upton and Breitenberg",QN-82852,Belt,18,71.38,1284.84,0.03,38.5452,2014-09-24 04:14:12
98022,Heidenreich-Bosco,LW-86841,Shoes,9,89.82,808.38,0.03,24.2514,2013-11-30 23:19:44
115138,Gorczany-Hahn,KV-99194,Shirt,10,85.12,851.2,0.03,25.536,2014-05-17 03:23:30
555594,"Ernser, Cruickshank and Lind",VG-32047,Shirt,17,75.04,1275.68,0.03,38.2704,2014-02-09 16:56:59
750461,"Volkman, Goyette and Lemke",KV-99194,Shirt,3,45.05,135.15,0.03,4.0545,2014-02-17 04:26:57
563905,"Kerluke, Reilly and Bechtelar",GS-86623,Shoes,16,76.77,1228.32,0.03,36.8496,2014-01-05 02:40:58
659366,Waelchi-Fahey,VG-32047,Shirt,11,99.09,1089.99,0.03,32.6997,2014-07-15 21:09:33
555594,"Ernser, Cruickshank and Lind",AS-93055,Shirt,3,71.25,213.75,0.03,6.4125,2014-09-29 06:24:24
563905,"Kerluke, Reilly and Bechtelar",QN-82852,Belt,14,40.3,564.2,0.03,16.926,2014-01-15 18:10:47
659366,Waelchi-Fahey,AS-93055,Shirt,1,10.38,10.38,0.03,0.3114,2014-09-12 21:26:08
304860,Huel-Haag,GS-86623,Shoes,8,69.32,554.56,0.03,16.6368,2014-08-05 15:34:59
758133,"Kihn, McClure and Denesik",QN-82852,Belt,12,82.74,992.88,0.03,29.7864,2014-07-28 00:55:13
524021,Hegmann and Sons,QN-82852,Belt,17,81.64,1387.88,0.03,41.6364,2014-05-29 05:51:07
676847,Hamill-Hackett,LL-46261,Shoes,5,50.63,253.15,0.03,7.5945,2014-10-22 11:43:28
850140,Kunze Inc,LW-86841,Shoes,6,81.41,488.46,0.03,14.6538,2014-09-11 08:41:22
115138,Gorczany-Hahn,QN-82852,Belt,13,18.45,239.85,0.03,7.1955,2014-01-19 21:22:08
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,17,17.36,295.12,0.03,8.8536,2014-01-29 14:09:39
304860,Huel-Haag,AS-93055,Shirt,9,55.09,495.81,0.03,14.8743,2014-06-28 22:39:25
995267,Cole-Eichmann,LL-46261,Shoes,3,17.54,52.62,0.03,1.5786,2014-01-17 19:11:41
758133,"Kihn, McClure and Denesik",AS-93055,Shirt,7,82.51,577.57,0.03,17.3271,2014-01-13 08:06:03
304860,Huel-Haag,WJ-02096,Belt,3,14.9,44.7,0.03,1.341,2013-11-21 14:28:29
659366,Waelchi-Fahey,FK-71853,Shirt,6,89.05,534.3,0.03,16.029,2014-05-15 02:19:37
563905,"Kerluke, Reilly and Bechtelar",QN-82852,Belt,18,57.99,1043.82,0.025,26.0955,2014-09-25 06:23:20
201259,Koelpin PLC,VG-32047,Shirt,1,35.82,35.82,0.025,0.8955,2014-04-01 11:12:52
734922,Berge LLC,LW-86841,Shoes,5,56,280,0.025,7,2013-11-22 17:45:35
555594,"Ernser, Cruickshank and Lind",WJ-02096,Belt,7,77.52,542.64,0.025,13.566,2014-02-01 09:30:21
555594,"Ernser, Cruickshank and Lind",LL-46261,Shoes,12,47.07,564.84,0.025,14.121,2014-08-08 11:08:24
758133,"Kihn, McClure and Denesik",KV-99194,Shirt,18,70.12,1262.16,0.025,31.554,2013-10-25 03:43:33
563905,"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,20,28.61,572.2,0.025,14.305,2014-09-30 19:16:05
115138,Gorczany-Hahn,FK-71853,Shirt,12,73.92,887.04,0.025,22.176,2014-05-15 13:22:25
201259,Koelpin PLC,FK-71853,Shirt,2,38.82,77.64,0.025,1.941,2013-12-10 17:54:51
299771,"Kuphal, Zieme and Kub",KV-99194,Shirt,14,69.26,969.64,0.025,24.241,2014-01-20 20:34:55
734922,Berge LLC,GS-86623,Shoes,19,28.54,542.26,0.025,13.5565,2013-10-26 17:03:00
296809,Carroll PLC,LL-46261,Shoes,7,79.15,554.05,0.025,13.85125,2014-03-07 09:38:37
299771,"Kuphal, Zieme and Kub",GS-86623,Shoes,20,36.19,723.8,0.025,18.095,2014-07-02 08:35:43
750461,"Volkman, Goyette and Lemke",LL-46261,Shoes,19,93.21,1770.99,0.025,44.27475,2014-04-20 18:58:11
201259,Koelpin PLC,MJ-21460,Shoes,5,23.76,118.8,0.03,3.564,2014-08-17 11:00:49
115138,Gorczany-Hahn,FK-71853,Shirt,2,44.1,88.2,0.03,2.646,2014-08-09 18:31:40
115138,Gorczany-Hahn,LL-46261,Shoes,20,41.05,821,0.03,24.63,2014-02-20 07:29:02
305803,"Davis, Kshlerin and Reilly",LW-86841,Shoes,19,47.78,907.82,0.03,27.2346,2014-02-22 13:15:38
711951,Kilback-Gerlach,LW-86841,Shoes,9,95.92,863.28,0.03,25.8984,2014-05-29 22:08:13
93356,Waters-Walker,GS-86623,Shoes,4,50.1,200.4,0.03,6.012,2014-08-11 02:09:32
98022,Heidenreich-Bosco,WJ-02096,Belt,10,75.51,755.1,0.03,22.653,2013-10-22 23:19:39
555594,"Ernser, Cruickshank and Lind",VG-32047,Shirt,19,64.38,1223.22,0.03,36.6966,2014-09-02 21:51:04
524021,Hegmann and Sons,FK-71853,Shirt,12,17.42,209.04,0.03,6.2712,2014-01-22 14:25:19
115138,Gorczany-Hahn,MJ-21460,Shoes,11,81.67,898.37,0.03,26.9511,2014-09-06 11:50:34
555594,"Ernser, Cruickshank and Lind",VG-32047,Shirt,6,74.08,444.48,0.03,13.3344,2014-02-28 18:37:43
299771,"Kuphal, Zieme and Kub",MJ-21460,Shoes,18,25.91,466.38,0.03,13.9914,2014-08-12 22:48:01
524021,Hegmann and Sons,LL-46261,Shoes,6,57.32,343.92,0.03,10.3176,2013-12-20 12:38:08
750461,"Volkman, Goyette and Lemke",QN-82852,Belt,6,78.61,471.66,0.03,14.1498,2013-12-18 12:13:25
563905,"Kerluke, Reilly and Bechtelar",MJ-21460,Shoes,5,50.85,254.25,0.03,7.6275,2014-08-02 05:30:13
750461,"Volkman, Goyette and Lemke",FK-71853,Shirt,13,72.12,937.56,0.075,70.317,2014-03-09 14:23:35
299771,"Kuphal, Zieme and Kub",MJ-21460,Shoes,14,24.91,348.74,0.075,26.1555,2014-04-06 19:20:34
555594,"Ernser, Cruickshank and Lind",MJ-21460,Shoes,9,43.25,389.25,0.075,29.19375,2014-04-26 16:22:46
299771,"Kuphal, Zieme and Kub",QN-82852,Belt,12,66.32,795.84,0.075,59.688,2013-11-19 04:47:16
659366,Waelchi-Fahey,AS-93055,Shirt,2,24.3,48.6,0.075,3.645,2013-11-10 13:25:32
734922,Berge LLC,MJ-21460,Shoes,12,53.7,644.4,0.075,48.33,2014-09-27 02:51:01
201259,Koelpin PLC,LL-46261,Shoes,16,80.82,1293.12,0.075,96.984,2014-08-19 00:53:50
555594,"Ernser, Cruickshank and Lind",QN-82852,Belt,10,91.71,917.1,0.075,68.7825,2014-06-25 19:11:32
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,11,16.05,176.55,0.075,13.24125,2014-09-26 03:52:52
93356,Waters-Walker,VG-32047,Shirt,17,86.18,1465.06,0.075,109.8795,2014-08-13 15:42:49
758133,"Kihn, McClure and Denesik",LW-86841,Shoes,14,87.56,1225.84,0.075,91.938,2014-04-27 07:55:06
676847,Hamill-Hackett,GS-86623,Shoes,20,27.49,549.8,0.075,41.235,2014-07-02 12:51:29
93356,Waters-Walker,GS-86623,Shoes,4,73.11,292.44,0.075,21.933,2014-08-21 19:29:11
758133,"Kihn, McClure and Denesik",FK-71853,Shirt,11,90.64,997.04,0.075,74.778,2014-05-11 06:10:17
555594,"Ernser, Cruickshank and Lind",KV-99194,Shirt,12,72.17,866.04,0.075,64.953,2014-09-15 20:49:18
659366,Waelchi-Fahey,LL-46261,Shoes,9,50.76,456.84,0.075,34.263,2014-08-29 11:32:00
93356,Waters-Walker,FK-71853,Shirt,16,21.43,342.88,0.07,24.0016,2014-05-25 00:38:58
93356,Waters-Walker,LL-46261,Shoes,20,21.09,421.8,0.07,29.526,2013-12-23 04:50:54
524021,Hegmann and Sons,VG-32047,Shirt,20,25.37,507.4,0.07,35.518,2014-07-19 17:18:19
676847,Hamill-Hackett,KV-99194,Shirt,20,29.59,591.8,0.015,8.877,2014-01-01 19:55:03
995267,Cole-Eichmann,KV-99194,Shirt,17,20.24,344.08,0.015,5.1612,2014-10-01 21:20:26
850140,Kunze Inc,WJ-02096,Belt,13,71.35,927.55,0.015,13.91325,2014-06-09 20:22:22
524021,Hegmann and Sons,KV-99194,Shirt,16,79.67,1274.72,0.015,19.1208,2013-10-25 07:31:02
711951,Kilback-Gerlach,LW-86841,Shoes,2,60.75,121.5,0.015,1.8225,2014-05-17 13:10:42
299771,"Kuphal, Zieme and Kub",KV-99194,Shirt,5,44.47,222.35,0.015,3.33525,2014-04-11 05:00:15
93356,Waters-Walker,GS-86623,Shoes,2,86.17,172.34,0.015,2.5851,2014-03-12 14:25:12
555594,"Ernser, Cruickshank and Lind",LW-86841,Shoes,14,54.5,763,0.015,11.445,2014-10-06 09:47:02
299771,"Kuphal, Zieme and Kub",AS-93055,Shirt,18,37.75,679.5,0.015,10.1925,2014-04-05 20:02:30
299771,"Kuphal, Zieme and Kub",FK-71853,Shirt,20,32.7,654,0.015,9.81,2014-04-26 05:18:02
296809,Carroll PLC,MJ-21460,Shoes,15,93.06,1395.9,0.015,20.9385,2014-08-17 18:39:56
750461,"Volkman, Goyette and Lemke",LL-46261,Shoes,17,49.59,843.03,0.015,12.64545,2013-10-29 12:57:27
750461,"Volkman, Goyette and Lemke",WJ-02096,Belt,17,45.43,772.31,0.015,11.58465,2014-05-09 06:44:04
711951,Kilback-Gerlach,AS-93055,Shirt,2,31.54,63.08,0.015,0.9462,2014-01-26 05:15:19
304860,Huel-Haag,LW-86841,Shoes,6,93.02,558.12,0.015,8.3718,2013-11-23 08:51:18
750461,"Volkman, Goyette and Lemke",FK-71853,Shirt,16,57.02,912.32,0.015,13.6848,2014-10-14 14:07:31
711951,Kilback-Gerlach,FK-71853,Shirt,11,53.17,584.87,0.015,8.77305,2014-06-10 15:11:01
305803,"Davis, Kshlerin and Reilly",LL-46261,Shoes,12,52.51,630.12,0.015,9.4518,2014-08-03 03:39:52
115138,Gorczany-Hahn,MJ-21460,Shoes,13,96.31,1252.03,0.07,87.6421,2013-12-03 04:04:40
201259,Koelpin PLC,LW-86841,Shoes,16,90.97,1455.52,0.07,101.8864,2014-08-29 07:41:36
734922,Berge LLC,KV-99194,Shirt,7,64.02,448.14,0.07,31.3698,2013-11-05 03:55:12
563905,"Kerluke, Reilly and Bechtelar",GS-86623,Shoes,15,18.41,276.15,0.07,19.3305,2014-03-02 17:47:13
305803,"Davis, Kshlerin and Reilly",MJ-21460,Shoes,2,29.63,59.26,0.07,4.1482,2014-03-27 23:48:17
750461,"Volkman, Goyette and Lemke",FK-71853,Shirt,4,46.82,187.28,0.07,13.1096,2014-02-15 06:51:19
850140,Kunze Inc,VG-32047,Shirt,9,93.69,843.21,0.07,59.0247,2014-03-20 15:25:39
93356,Waters-Walker,GS-86623,Shoes,15,64.11,961.65,0.03,28.8495,2013-10-23 08:28:53
304860,Huel-Haag,LL-46261,Shoes,3,48.87,146.61,0.03,4.3983,2014-04-03 22:36:22
929400,"Senger, Upton and Breitenberg",MJ-21460,Shoes,14,87.01,1218.14,0.03,36.5442,2013-12-14 16:40:16
929400,"Senger, Upton and Breitenberg",KV-99194,Shirt,4,17.98,71.92,0.03,2.1576,2014-07-22 19:10:27
734922,Berge LLC,AS-93055,Shirt,10,93.77,937.7,0.03,28.131,2014-08-17 09:21:15
734922,Berge LLC,MJ-21460,Shoes,6,84.73,508.38,0.03,15.2514,2014-07-20 18:27:59
711951,Kilback-Gerlach,QN-82852,Belt,11,45.49,500.39,0.03,15.0117,2013-11-12 10:13:25
299771,"Kuphal, Zieme and Kub",LL-46261,Shoes,17,70.23,1193.91,0.03,35.8173,2014-08-14 13:57:01
995267,Cole-Eichmann,FK-71853,Shirt,10,51.29,512.9,0.03,15.387,2014-09-16 05:26:10
93356,Waters-Walker,AS-93055,Shirt,16,75.48,1207.68,0.03,36.2304,2014-08-23 04:04:11
676847,Hamill-Hackett,MJ-21460,Shoes,19,56.9,1081.1,0.03,32.433,2014-10-21 08:46:48
524021,Hegmann and Sons,FK-71853,Shirt,10,71.89,718.9,0.03,21.567,2014-09-11 00:45:37
929400,"Senger, Upton and Breitenberg",MJ-21460,Shoes,10,13.02,130.2,0.03,3.906,2014-06-30 10:31:23
304860,Huel-Haag,MJ-21460,Shoes,3,79.49,238.47,0.03,7.1541,2014-06-02 13:06:24
734922,Berge LLC,AS-93055,Shirt,11,81.53,896.83,0.03,26.9049,2014-09-01 17:46:10
659366,Waelchi-Fahey,LL-46261,Shoes,1,18.68,18.68,0.03,0.5604,2014-05-19 18:10:49
201259,Koelpin PLC,MJ-21460,Shoes,20,45.32,906.4,0.03,27.192,2014-07-06 22:06:23
711951,Kilback-Gerlach,AS-93055,Shirt,10,68.74,687.4,0.03,20.622,2014-03-27 12:14:12
750461,"Volkman, Goyette and Lemke",AS-93055,Shirt,10,90,900,0.03,27,2014-07-10 22:17:15
995267,Cole-Eichmann,WJ-02096,Belt,6,20.3,121.8,0.03,3.654,2014-05-23 10:24:32
563905,"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,17,58.67,997.39,0.03,29.9217,2013-12-08 13:43:29
659366,Waelchi-Fahey,FK-71853,Shirt,2,12.68,25.36,0.03,0.7608,2014-04-27 03:38:16
676847,Hamill-Hackett,GS-86623,Shoes,17,49.68,844.56,0.03,25.3368,2014-01-28 15:37:10
524021,Hegmann and Sons,MJ-21460,Shoes,2,95.37,190.74,0.03,5.7222,2014-03-30 08:27:54
524021,Hegmann and Sons,AS-93055,Shirt,20,96.98,1939.6,0.03,58.188,2014-06-13 18:23:55
296809,Carroll PLC,VG-32047,Shirt,16,23.79,380.64,0.03,11.4192,2014-02-26 18:22:57
995267,Cole-Eichmann,KV-99194,Shirt,2,37.86,75.72,0.03,2.2716,2014-04-04 19:30:50
304860,Huel-Haag,KV-99194,Shirt,9,66.18,595.62,0.03,17.8686,2014-01-15 11:55:40
524021,Hegmann and Sons,KV-99194,Shirt,6,98.89,593.34,0.03,17.8002,2014-04-22 00:24:15
758133,"Kihn, McClure and Denesik",VG-32047,Shirt,4,25.02,100.08,0.03,3.0024,2014-05-26 06:54:22
563905,"Kerluke, Reilly and Bechtelar",WJ-02096,Belt,16,64.58,1033.28,0.03,30.9984,2013-12-17 23:35:15
305803,"Davis, Kshlerin and Reilly",FK-71853,Shirt,18,48.7,876.6,0.03,26.298,2014-02-10 08:43:23
734922,Berge LLC,QN-82852,Belt,16,24.66,394.56,0.03,11.8368,2013-12-12 00:57:07
563905,"Kerluke, Reilly and Bechtelar",LW-86841,Shoes,5,43.15,215.75,0.03,6.4725,2014-04-06 06:24:33
296809,Carroll PLC,QN-82852,Belt,2,54.52,109.04,0.03,3.2712,2014-08-24 09:43:19
929400,"Senger, Upton and Breitenberg",WJ-02096,Belt,8,91.14,729.12,0.03,21.8736,2014-06-11 10:12:04
98022,Heidenreich-Bosco,LW-86841,Shoes,13,65.79,855.27,0.03,25.6581,2014-06-28 04:47:33
750461,"Volkman, Goyette and Lemke",AS-93055,Shirt,8,14.73,117.84,0.03,3.5352,2014-03-19 05:18:21
758133,"Kihn, McClure and Denesik",VG-32047,Shirt,14,96.18,1346.52,0.03,40.3956,2014-10-04 09:49:10
524021,Hegmann and Sons,MJ-21460,Shoes,6,81.1,486.6,0.03,14.598,2014-02-15 15:29:46
