,School Name,City,State,District Name,Model Selected,Award_Amount,Region
582,CLINTON MS,TULSA,OK,TULSA,Transformation,113967,South
583,F.D. MOON ACADEMY,OKLAHOMA CITY,OK,OKLAHOMA CITY,Transformation,152716,South
584,WILL ROGERS HS,TULSA,OK,TULSA,Transformation,117124,South
585,CENTRAL HS,TULSA,OK,TULSA,Transformation,858523,South
586,CRUTCHO PUBLIC SCHOOL,OKLAHOMA CITY,OK,CRUTCHO,Transformation,973201,South
587,NATHAN HALE HS,TULSA,OK,TULSA,Transformation,103708,South
588,DOUGLASS MS,OKLAHOMA CITY,OK,OKLAHOMA CITY,Transformation,11395,South
589,EAST CENTRAL HS,TULSA,OK,TULSA,Transformation,107752,South
590,U. S. GRANT HS,OKC,OK,OKLAHOMA CITY,Turnaround,173743,South
591,SPANISH-ENGLISH INTERNATIONAL SCHOOL,PORTLAND,OR,PORTLAND SD 1J,Transformation,766667,West
592,ONTARIO HIGH SCHOOL,ONTARIO,OR,ONTARIO SD 8C,Transformation,11704,West
593,HALLMAN ELEMENTARY SCHOOL,SALEM,OR,SALEM-KEIZER SD 24J,Transformation,950000,West
594,EAGLERIDGE HIGH SCHOOL,KLAMATH FALLS,OR,KLAMATH FALLS CITY SCHOOLS,Transformation,617966,West
595,MCKAY HIGH SCHOOL,SALEM,OR,SALEM-KEIZER SD 24J,Transformation,19015,West
596,"ARTS, COMMUNICATION & TECHNOLOGY SCHOOL",PORTLAND,OR,PORTLAND SD 1J,Transformation,766667,West
597,MADRAS HIGH SCHOOL,MADRAS,OR,JEFFERSON COUNTY SD 509J,Transformation,118595,West
598,ROBERTS HIGH SCHOOL,SALEM,OR,SALEM-KEIZER SD 24J,Transformation,616667,West
599,PURSUIT OF WELLNESS EDUCATION AT ROOSEVELT CAMPUS,PORTLAND,OR,PORTLAND SD 1J,Transformation,119072,West
600,OREGON CITY SERVICE LEARNING ACADEMY,OREGON CITY,OR,OREGON CITY SD 62,Transformation,441740,West
601,MARSHALL HIGH SCHOOL,BEND,OR,BEND-LAPINE ADMINISTRATIVE SD 1,Transformation,747268,West
602,EARLY COLLEGE HIGH SCHOOL,SALEM,OR,SALEM-KEIZER SD 24J,Transformation,616667,West
603,SAYRE WILLIAM L MS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,737032,Northeast
604,CENTRAL DAUPHIN EAST SHS,HARRISBURG,PA,CENTRAL DAUPHIN SD,Transformation,699963,Northeast
605,KING MARTIN LUTHER HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,786964,Northeast
606,DOUGLAS STEPHEN A SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Restart,319320,Northeast
607,PARK LANE EL SCH,DARBY,PA,WILLIAM PENN SD,Transformation,283200,Northeast
608,FRANCIS D RAUB MS,ALLENTOWN,PA,ALLENTOWN CITY SD,Transformation,500000,Northeast
609,LOCKE ALAIN SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,390938,Northeast
610,ALCORN JAMES SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,338726,Northeast
611,STEELTON-HIGHSPIRE HS,STEELTON,PA,STEELTON-HIGHSPIRE SD,Turnaround,280500,Northeast
612,PERSEUS HOUSE CS OF EXCELLENCE,ERIE,PA,PERSEUS HOUSE CS OF EXCELLENCE,Transformation,686000,Northeast
613,GERMANTOWN HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,798792,Northeast
614,MOUNT UNION AREA SHS,MOUNT UNION,PA,MOUNT UNION AREA SD,Transformation,848867,Northeast
615,ROONEY ARTHUR J MS,PITTSBURGH,PA,PITTSBURGH SD,Closure,208773,Northeast
616,ROXBOROUGH HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,641440,Northeast
617,HAND MS,LANCASTER,PA,LANCASTER SD,Turnaround,551611,Northeast
618,LANGLEY HS,PITTSBURGH,PA,PITTSBURGH SD,Transformation,312714,Northeast
619,TREXLER MS,ALLENTOWN,PA,ALLENTOWN CITY SD,Transformation,250000,Northeast
620,UNIVERSITY CITY HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Turnaround,923999,Northeast
621,SMEDLEY FRANKLIN SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Restart,362773,Northeast
622,PENN WOOD HS - GREEN AVE CAMPUS,LANSDOWNE,PA,WILLIAM PENN SD,Transformation,626150,Northeast
623,HARRISON-MORTON MS,ALLENTOWN,PA,ALLENTOWN CITY SD,Transformation,350000,Northeast
624,WEST PHILADELPHIA HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,671142,Northeast
625,HARRITY WILLIAM F SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Restart,980283,Northeast
626,ACADEMY PARK HS,SHARON HILL,PA,SOUTHEAST DELCO SD,Transformation,958375,Northeast
627,WEST PHILA. ACHIEVEMENT CES,PHILADELPHIA,PA,WEST PHILA. ACHIEVEMENT CES,Transformation,318875,Northeast
628,FRANKFORD HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,792001,Northeast
629,MCKEESPORT AREA SHS,MC KEESPORT,PA,MCKEESPORT AREA SD,Transformation,10000,Northeast
630,OLIVER HS,PITTSBURGH,PA,PITTSBURGH SD,Transformation,542588,Northeast
631,VAUX ROBERTS HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Turnaround,466665,Northeast
632,CAREER TECHNOLOGY ACADEMY,HARRISBURG,PA,HARRISBURG CITY SD,Closure,300000,Northeast
633,CLEMENTE ROBERTO MS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Turnaround,333327,Northeast
634,FELS SAMUEL HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,974132,Northeast
635,LOUIS E DIERUFF HS,ALLENTOWN,PA,ALLENTOWN CITY SD,Transformation,500000,Northeast
636,ALLEN DR ETHEL SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Turnaround,247020,Northeast
637,FELTONVILLE INTERMEDIATE SCHOOL,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,244855,Northeast
638,PENN WOOD MS,DARBY,PA,WILLIAM PENN SD,Transformation,287500,Northeast
639,CENTRAL EL SCH,ALLENTOWN,PA,ALLENTOWN CITY SD,Transformation,650000,Northeast
640,SOUTH PHILADELPHIA HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,579958,Northeast
641,OLNEY HS WEST,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,272245,Northeast
642,BRASHEAR HS,PITTSBURGH,PA,PITTSBURGH SD,Transformation,267754,Northeast
643,EDISON HS/FAREIRA SKILLS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,10000,Northeast
644,MCCASKEY CAMPUS,LANCASTER,PA,LANCASTER SD,Transformation,616432,Northeast
645,WESTINGHOUSE HS,PITTSBURGH,PA,PITTSBURGH SD,Transformation,606437,Northeast
646,STETSON JOHN B MS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Restart,888708,Northeast
647,DUQUESNE CONSOLIDATED SCH,DUQUESNE,PA,DUQUESNE CITY SD,Transformation,523313,Northeast
648,DAROFF SAMUEL SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Restart,658247,Northeast
649,BLUFORD GUION EL SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Restart,907129,Northeast
650,WILLIAM ALLEN HS,ALLENTOWN,PA,ALLENTOWN CITY SD,Transformation,350000,Northeast
651,CLYMER GEORGE SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,392068,Northeast
652,MANN WILLIAM B SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Restart,794021,Northeast
653,TURKEYFOOT VALLEY AREA JSHS,CONFLUENCE,PA,TURKEYFOOT VALLEY AREA SD,Transformation,286500,Northeast
654,PHILADELPHIA MONTESSORI CS,PHILADELPHIA,PA,PHILADELPHIA MONTESSORI CS,Transformation,305763,Northeast
655,GRATZ SIMON HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,508486,Northeast
656,PENN HILLS SHS,PITTSBURGH,PA,PENN HILLS SD,Transformation,109958,Northeast
657,KING M L EL SCH,PITTSBURGH,PA,PITTSBURGH SD,Transformation,234233,Northeast
658,LINCOLN HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,10000,Northeast
659,PERRY TRADITIONAL ACADEMY,PITTSBURGH,PA,PITTSBURGH SD,Transformation,320412,Northeast
660,REYNOLDS MS,LANCASTER,PA,LANCASTER SD,Transformation,531891,Northeast
667,RIDGELAND MIDDLE,RIDGELAND,SC,JASPER 01,Transformation,573338,South
668,J V MARTIN JR HIGH,DILLON,SC,DILLON 02,Transformation,908486,South
669,DENMARK-OLAR MIDDLE,DENMARK,SC,BAMBERG 02,Transformation,571626,South
670,KINGSTREE JR HIGH,KINGSTREE,SC,WILLIAMSBURG 01,Transformation,639839,South
671,EAU CLAIRE HIGH,COLUMBIA,SC,RICHLAND 01,Transformation,717125,South
672,ESTILL HIGH,ESTILL,SC,HAMPTON 02,Transformation,502925,South
673,MANNING JUNIOR HIGH,MANNING,SC,CLARENDON 02,Transformation,672451,South
674,DENMARK OLAR HIGH,DENMARK,SC,BAMBERG 02,Transformation,571626,South
675,WHITLOCK JR HIGH,SPARTANBURG,SC,SPARTANBURG 07,Closure,254323,South
676,WEST LEE ELEM,REMBERT,SC,LEE 01,Transformation,698507,South
677,ESTILL MIDDLE,ESTILL,SC,HAMPTON 02,Transformation,503608,South
678,N CHARLESTON HIGH,NORTH CHARLESTON,SC,CHARLESTON 01,Transformation,756937,South
679,ALLENDALE-FAIRFAX MIDDLE,FAIRFAX,SC,ALLENDALE 01,Transformation,449430,South
680,CARVER JR HIGH,SPARTANBURG,SC,SPARTANBURG 07,Transformation,126267,South
681,HARDEEVILLE MIDDLE/HIGH,HARDEEVILLE,SC,JASPER 01,Transformation,579145,South
682,CAROLINA HIGH,GREENVILLE,SC,GREENVILLE 01,Transformation,905959,South
683,MORNINGSIDE MIDDLE,NORTH CHARLESTON,SC,CHARLESTON 01,Transformation,712019,South
684,FAIRFAX ELEM,FAIRFAX,SC,ALLENDALE 01,Transformation,411971,South
685,C A JOHNSON PREPATORY ACAD,COLUMBIA,SC,RICHLAND 01,Transformation,717125,South
687,FAMILY IMMERSION CENTER MIDDLE - 53,SIOUX FALLS,SD,SIOUX FALLS SCHOOL DISTRICT 49-5,Turnaround,168131,Midwest
688,NEW UNDERWOOD HIGH SCHOOL - 01,NEW UNDERWOOD,SD,NEW UNDERWOOD SCHOOL DISTRICT 51-3,Transformation,362759,Midwest
689,NORTHSIDE HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Turnaround,267249,South
690,HAMILTON HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Transformation,274487,South
691,HOWARD ACADEMY OF ACADEMICS TECHNOLOGY,CHATTANOOGA,TN,HAMILTON COUNTY SCHOOL DISTRCT,Turnaround,629999,South
692,TREZEVANT HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Transformation,306934,South
693,FRAYSER MIDDLE/ HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Transformation,248250,South
694,HIXSON HIGH SCHOOL,HIXSON,TN,HAMILTON COUNTY SCHOOL DISTRCT,Transformation,620296,South
695,SHEFFIELD HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Turnaround,376370,South
696,MANASSAS HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Turnaround,269863,South
697,MOUNT PLEASANT HIGH SCHOOL,MT PLEASANT,TN,MAURY COUNTY SCHOOL DISTRICT,Transformation,736026,South
698,RALEIGH EGYPT MIDDLE SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Turnaround,103092,South
699,KINGSBURY MIDDLE/HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Transformation,259513,South
700,AUSTIN EAST HIGH/MAGNET SCHOOL,KNOXVILLE,TN,KNOX COUNTY SCHOOL DISTRICT,Turnaround,905629,South
749,ODYSSEY ELEMENTARY,OGDEN,UT,OGDEN DISTRICT,Transformation,549444,West
750,BLUFF SCHOOL,BLUFF,UT,SAN JUAN DISTRICT,Transformation,278779,West
751,JAMES MADISON ELEMENTARY,OGDEN,UT,OGDEN DISTRICT,Transformation,549444,West
752,NORTHWEST MIDDLE,SALT LAKE CITY,UT,SALT LAKE DISTRICT,Transformation,806790,West
753,DEE SCHOOL,OGDEN,UT,OGDEN DISTRICT,Transformation,549444,West
754,GLENDALE MIDDLE,SALT LAKE CITY,UT,SALT LAKE DISTRICT,Transformation,806790,West
755,GRANGER HIGH,WEST VALLEY CITY,UT,GRANITE DISTRICT,Transformation,710934,West
756,FRED D. THOMPSON MIDDLE,RICHMOND,VA,RICHMOND CITY PBLC SCHS,Transformation,501500,South
757,LAKE TAYLOR MIDDLE,NORFOLK,VA,NORFOLK CITY PBLC SCHS,Transformation,135251,South
758,FRIES MIDDLE,FRIES,VA,GRAYSON CO PBLC SCHS,Transformation,500000,South
759,T.C. WILLIAMS HIGH,ALEXANDRIA,VA,ALEXANDRIA CITY PBLC SCHS,Transformation,10000,South
760,WESTSIDE ELEM.,ROANOKE,VA,ROANOKE CITY PBLC SCHS,Transformation,580100,South
761,PRINCE EDWARD COUNTY HIGH,FARMVILLE,VA,PRINCE EDWARD CO PBLC SCHS,Transformation,499586,South
762,CENTRAL HIGH,KING AND QUEEN C H,VA,KING AND QUEEN CO PBLC SCHS,Transformation,685661,South
763,LANGSTON FOCUS SCHOOL,DANVILLE,VA,DANVILLE CITY PBLC SCHS,Restart,946198,South
764,ARMSTRONG HIGH,RICHMOND,VA,RICHMOND CITY PBLC SCHS,Restart,859600,South
765,PEABODY MIDDLE,PETERSBURG,VA,PETERSBURG CITY PBLC SCHS,Transformation,460723,South
766,NEW BRIDGE SCHOOL,RICHMOND,VA,HENRICO CO PBLC SCHS,Closure,50000,South
767,COLONIAL BEACH HIGH,COLONIAL BEACH,VA,COLONIAL BEACH PBLC SCHS,Transformation,571500,South
768,ELLEN W. CHAMBLISS ELEM.,WAKEFIELD,VA,SUSSEX CO PBLC SCHS,Restart,400000,South
769,THOMAS C. BOUSHALL MIDDLE,RICHMOND,VA,RICHMOND CITY PBLC SCHS,Restart,613340,South
770,RUFFNER MIDDLE,NORFOLK,VA,NORFOLK CITY PBLC SCHS,Transformation,135542,South
771,VA. RANDOLPH COMM. HIGH,GLEN ALLEN,VA,HENRICO CO PBLC SCHS,Closure,50000,South
772,JAMES S. RUSSELL MIDDLE,LAWRENCEVILLE,VA,BRUNSWICK CO PBLC SCHS,Transformation,490820,South
773,SUSSEX CENTRAL MIDDLE,SUSSEX,VA,SUSSEX CO PBLC SCHS,Restart,529167,South
774,MOUNT ABRAHAM UHSD #28,BRISTOL,VT,MOUNT ABRAHAM UHSD #28,Transformation,230110,Northeast
775,NORTHFIELD ELEMENTARY SCHOOL,NORTHFIELD,VT,NORTHFIELD SCHOOL DISTRICT,Transformation,215600,Northeast
776,H. O. WHEELER SCHOOL,BURLINGTON,VT,BURLINGTON SCHOOL DISTRICT,Transformation,368200,Northeast
777,LAMOILLE UHSD #18,HYDE PARK,VT,LAMOILLE UHSD #18,Transformation,242458,Northeast
778,WINOOSKI HIGH SCHOOL,WINOOSKI,VT,WINOOSKI SCHOOL DISTRICT,Transformation,166477,Northeast
779,ST. JOHNSBURY SCHOOL,ST JOHNSBURY,VT,SAINT JOHNSBURY SCHOOL DISTRICT,Transformation,380045,Northeast
780,JOHNSON ELEMENTARY SCHOOL,JOHNSON,VT,JOHNSON SCHOOL DISTRICT,Transformation,192559,Northeast
781,WINDSOR HIGH SCHOOL,WINDSOR,VT,WINDSOR SCHOOL DISTRICT,Transformation,257889,Northeast
782,RUTLAND SENIOR HIGH SCHOOL,RUTLAND,VT,RUTLAND CITY SCHOOL DISTRICT,Transformation,382364,Northeast
783,FAIR HAVEN UHSD #16,FAIR HAVEN,VT,FAIR HAVEN UHSD #16,Transformation,314781,Northeast
784,STEWART,TACOMA,WA,TACOMA SCHOOL DISTRICT,Turnaround,152512,West
785,SUNNYSIDE HIGH SCHOOL,SUNNYSIDE,WA,SUNNYSIDE SCHOOL DISTRICT,Transformation,162541,West
786,TULALIP ELEMENTARY,MARYSVILLE,WA,MARYSVILLE SCHOOL DISTRICT,Turnaround,734480,West
787,CASCADE MIDDLE SCHOOL,SEATTLE,WA,HIGHLINE SCHOOL DISTRICT,Transformation,730000,West
788,ADAMS ELEMENTARY SCHOOL,YAKIMA,WA,YAKIMA SCHOOL DISTRICT,Transformation,116293,West
789,HAWTHORNE ELEMENTARY SCHOOL,SEATTLE,WA,SEATTLE PUBLIC SCHOOLS,Transformation,533531,West
790,MARYSVILLE MIDDLE SCHOOL,MARYSVILLE,WA,MARYSVILLE SCHOOL DISTRICT,Transformation,109526,West
791,GRANDVIEW MIDDLE SCHOOL,GRANDVIEW,WA,GRANDVIEW SCHOOL DISTRICT,Transformation,10000,West
792,WELLPINIT ELEMENTARY SCHOOL,WELLPINIT,WA,WELLPINIT SCHOOL DISTRICT,Transformation,178996,West
793,JASON LEE,TACOMA,WA,TACOMA SCHOOL DISTRICT,Transformation,100573,West
794,HIGH POINT ELEMENTARY SCHOOL,SEATTLE,WA,SEATTLE PUBLIC SCHOOLS,Transformation,452925,West
795,MONTICELLO MIDDLE SCHOOL,LONGVIEW,WA,LONGVIEW SCHOOL DISTRICT,Transformation,515546,West
796,STANTON ALTERNATIVE SCHOOL,YAKIMA,WA,YAKIMA SCHOOL DISTRICT,Transformation,945312,West
797,ANGELO GIAUDRONE MIDDLE SCHOOL,TACOMA,WA,TACOMA SCHOOL DISTRICT,Turnaround,138656,West
798,HUNT,TACOMA,WA,TACOMA SCHOOL DISTRICT,Closure,95320,West
799,CLEVELAND HIGH SCHOOL,SEATTLE,WA,SEATTLE PUBLIC SCHOOLS,Transformation,756677,West
800,CHINOOK MIDDLE SCHOOL,SEATAC,WA,HIGHLINE SCHOOL DISTRICT,Transformation,730000,West
801,WASHINGTON MIDDLE SCHOOL,YAKIMA,WA,YAKIMA SCHOOL DISTRICT,Transformation,115268,West
802,FOSTER & WILLIAMS HIGH SCHOOL OF THE VISUAL ARTS,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Closure,10000,Midwest
803,DUBOIS HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Closure,10000,Midwest
804,CUSTER HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Restart,650093,Midwest
805,JAMES MADISON ACADEMIC CAMPUS,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Transformation,749320,Midwest
806,VINCENT HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Transformation,928024,Midwest
807,BAY VIEW HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Transformation,134909,Midwest
808,DOWNTOWN INSTITUTE OF ARTS & LETTERS (DIAL),MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Closure,10000,Midwest
809,SOUTH DIVISION HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Transformation,124643,Midwest
810,MILWAUKEE AFRICAN AMERICAN IMMERSION HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Restart,567905,Midwest
811,WHS LAW EDUCATION & PUBLIC SERVICE,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Closure,10000,Midwest
812,BRADLEY TECHNOLOGY HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Transformation,10000,Midwest
813,HAMLIN PK-8,HAMLIN,WV,LINCOLN COUNTY SCHOOLS,Transformation,258600,South
814,RIVERSIDE HIGH SCHOOL,BELLE,WV,KANAWHA COUNTY SCHOOLS,Transformation,481900,South
815,DODDRIDGE COUNTY ELEMENTARY SCHOOL,WEST UNION,WV,DODDRIDGE COUNTY SCHOOLS,Transformation,464200,South
816,MOUNT VIEW HIGH SCHOOL,WELCH,WV,MCDOWELL COUNTY SCHOOLS,Transformation,450000,South
817,WEST HAMLIN ELEMENTARY,WEST HAMLIN,WV,LINCOLN COUNTY SCHOOLS,Transformation,156660,South
818,MALDEN ELEMENTARY SCHOOL,CHARLESTON,WV,KANAWHA COUNTY SCHOOLS,Transformation,217598,South
819,MARTINSBURG NORTH MIDDLE SCHOOL,MARTINSBURG,WV,BERKELEY COUNTY SCHOOLS,Transformation,461690,South
820,SANDY RIVER MIDDLE SCHOOL,AVONDALE,WV,MCDOWELL COUNTY SCHOOLS,Transformation,370000,South
821,STONEWALL JACKSON MIDDLE SCHOOL,CHARLESTON,WV,KANAWHA COUNTY SCHOOLS,Transformation,241211,South
822,EAST BANK MIDDLE SCHOOL,EAST BANK,WV,KANAWHA COUNTY SCHOOLS,Transformation,314618,South
823,FRANKLIN ELEMENTARY CENTER,PARKERSBURG,WV,WOOD COUNTY SCHOOLS,Transformation,389906,South
824,GUYAN VALLEY MIDDLE,BRANCHLAND,WV,LINCOLN COUNTY SCHOOLS,Transformation,341250,South
825,CEDAR GROVE MIDDLE SCHOOL,CEDAR GROVE,WV,KANAWHA COUNTY SCHOOLS,Transformation,211271,South
826,MOUNT HOPE HIGH SCHOOL,MOUNT HOPE,WV,FAYETTE COUNTY SCHOOLS,Transformation,342189,South
827,GEARY ELEMENTARY SCHOOL,LEFT HAND,WV,ROANE COUNTY SCHOOLS,Transformation,260000,South
828,TRIUMPH HIGH SCHOOL,CHEYENNE,WY,LARAMIE COUNTY SCHOOL DISTRICT #1,Transformation,297300,West
829,HEM JUNIOR/SENIOR HIGH SCHOOL,HANNA,WY,CARBON COUNTY SCHOOL DISTRICT #2,Transformation,274000,West
830,ROOSEVELT HIGH SCHOOL,CASPER,WY,NATRONA COUNTY SCHOOL DISTRICT #1,Transformation,431382,West